bucket,n,avg_prob,hit_rate,lift,mean_ret5,net_ret5,mean_mfe5
0,54554,0.1272,0.1276,0.384,-0.159,-0.439,2.458
1,52171,0.2125,0.2039,0.614,-0.234,-0.514,3.218
2,55135,0.2736,0.2441,0.734,-0.251,-0.531,3.62
3,41614,0.3094,0.2827,0.851,-0.135,-0.415,4.006
4,59957,0.3439,0.3175,0.956,-0.071,-0.351,4.345
5,60312,0.3963,0.3566,1.073,0.107,-0.173,4.805
6,36293,0.4297,0.3873,1.166,0.285,0.005,5.164
7,59645,0.4664,0.4218,1.269,0.427,0.147,5.565
8,37481,0.5245,0.4634,1.394,0.793,0.513,6.13
9,50648,0.6246,0.5685,1.711,1.697,1.417,7.483
