feature,corr,beats_null,n_drop,SL_keep,SL_drop,MAE_keep,MAE_drop,MFE_keep,MFE_drop,ret5_keep,ret5_drop,verdict
mae_3,0.8247,True,71,12.7,100.0,-3.35,-11.670000076293945,11.47,6.860000133514404,6.14,-2.4100000858306885,vol-cut (clips upside)
mae_1,0.5645,True,105,14.1,65.7,-3.4,-8.760000228881836,11.38,8.789999961853027,5.89,1.4700000286102295,KEEP (real)
mfe_3,0.4152,True,67,18.5,61.2,-3.87,-8.130000114440918,11.69,4.929999828338623,5.84,-0.6000000238418579,vol-cut (clips upside)
mfe_1,0.3007,True,105,19.3,41.9,-3.86,-6.670000076293945,11.57,7.920000076293945,5.8,1.8799999952316284,vol-cut (clips upside)
gap_max_pct,-0.2432,True,267,20.1,27.3,-3.92,-4.889999866485596,10.21,11.729999542236328,4.21,6.130000114440918,KEEP (real)
feat__D_range_pct,-0.1683,True,115,18.2,44.3,-3.86,-6.400000095367432,10.78,11.4399995803833,5.55,3.240000009536743,KEEP (real)
feat__X_cprw_atr_pct,-0.131,True,143,18.3,39.2,-3.85,-5.960000038146973,10.7,11.539999961853027,5.53,3.759999990463257,KEEP (real)
move_max_pct,-0.129,True,219,20.7,27.9,-4.03,-4.920000076293945,8.72,14.520000457763672,3.51,7.71999979019165,KEEP (real)
feat__D_atr_pct,-0.117,True,157,20.0,32.5,-3.99,-5.380000114440918,10.68,11.529999732971191,5.35,4.409999847412109,KEEP (real)
ev_any,-0.113,True,0,23.4,,-4.37,,10.91,,5.09,,too few flagged
feat__D_dollar_vol,-0.1037,True,69,20.5,44.9,-4.05,-6.699999809265137,11.05,9.829999923706055,5.52,1.909999966621399,KEEP (real)
feat__D_breakout_high_20,-0.1023,True,0,23.4,,-4.37,,10.91,,5.09,,too few flagged
feat__D_bb_bw_20,-0.0997,True,130,19.7,36.2,-3.89,-6.019999980926514,10.8,11.279999732971191,5.53,3.569999933242798,KEEP (real)
feat__long_score,0.098,True,0,23.4,,-4.37,,10.91,,5.09,,too few flagged
feat__D_breakout_high_50,-0.097,True,0,23.4,,-4.37,,10.91,,5.09,,too few flagged
