section,set,n,SL,SLdrop,MAE,Ret,MFE
SINGLE SIGNALS,narrow_cpr,211,0.0947867298578199,0.07412208927521448,-0.030140938069583116,0.06637479004701732,0.10922107255854313
SINGLE SIGNALS,gap_down,226,0.11504424778761062,0.05386457134542376,-0.031340502795919906,0.07937069988883702,0.12572585850690318
SINGLE SIGNALS,open>prev_high,170,0.1588235294117647,0.01008528972126968,-0.03670363005469827,0.054342908719006704,0.09679400149513694
SINGLE SIGNALS,open_above_pivot,416,0.1658653846153846,0.003043434517649768,-0.035307661845133856,0.054771423912965335,0.10133128412641011
SINGLE SIGNALS,prev_day_green,276,0.17028985507246377,-0.001381035939429398,-0.03339356097622194,0.0625213676172754,0.10770521647688272
SINGLE SIGNALS,open_above_TC,428,0.17990654205607476,-0.010997722923040382,-0.0366612019661431,0.054107239591741116,0.10237993592413787
SINGLE SIGNALS,gap_up,443,0.1963882618510158,-0.027479442717981417,-0.03861866390193827,0.05164610801378168,0.10367270974488614
SINGLE SIGNALS,open_inside_cpr,34,,,,,
INTERACTIONS,gapDN x narrowCPR,60,0.03333333333333333,0.13557548579970105,-0.02302652895450592,0.08637937506039937,0.1248010536034902
INTERACTIONS,gapDN x belowBC,148,0.0945945945945946,0.07431422453843978,-0.030498692715490185,0.08937475286625526,0.13571966741536115
INTERACTIONS,gapDN x prevRED,118,0.1016949152542373,0.06721390387879708,-0.03181634060407089,0.0857862016912234,0.1326212478896319
INTERACTIONS,gapUP x narrowCPR,151,0.11920529801324503,0.049703521119789346,-0.032967855598752864,0.05842594831984564,0.10303035161353105
INTERACTIONS,gapDN x prevGREEN,108,0.12962962962962962,0.039279189503404754,-0.03082060593145865,0.07236117014178524,0.11819200714429219
INTERACTIONS,gapDN x wideCPR,166,0.14457831325301204,0.024330505880022335,-0.03434555358197316,0.07683744380273015,0.1260601253394621
INTERACTIONS,gapUP x aboveTC,384,0.1796875,-0.010778680866965623,-0.036748453974723816,0.05352123159294327,0.10231101668129365
INTERACTIONS,gapDN x aboveTC,44,0.18181818181818182,-0.012909362685147446,-0.03589972989125685,0.05922149121761322,0.1029814129525965
INTERACTIONS,gapUP x prevRED,275,0.19636363636363635,-0.027454817230601974,-0.0408002571626143,0.04886667186563665,0.10532766342163086
INTERACTIONS,gapUP x prevGREEN,168,0.19642857142857142,-0.027519752295537048,-0.035047603504998345,0.056195780280090514,0.1009637081906909
INTERACTIONS,gapUP x wideCPR,292,0.2363013698630137,-0.06739255072997932,-0.041540828469681414,0.04814009470482395,0.10400488809363483
INTERACTIONS,gapUP x belowBC,59,0.3050847457627119,-0.1361759266296775,-0.05079087766550355,0.03944191387144186,0.11253525442996268
INTERACTIONS,gapUP x inside,0,,,,,
INTERACTIONS,gapDN x inside,34,,,,,
