symbol,pred_date,entry_date,prob,mae,none__ret,none__days,none__hit,none__exit,predlow_close__ret,predlow_close__days,predlow_close__hit,predlow_close__exit,predlow_touch__ret,predlow_touch__days,predlow_touch__hit,predlow_touch__exit,ema_close__ret,ema_close__days,ema_close__hit,ema_close__exit,ema_touch__ret,ema_touch__days,ema_touch__hit,ema_touch__exit,fixed_8pct__ret,fixed_8pct__days,fixed_8pct__hit,fixed_8pct__exit,fixed_12pct__ret,fixed_12pct__days,fixed_12pct__hit,fixed_12pct__exit,fixed_15pct__ret,fixed_15pct__days,fixed_15pct__hit,fixed_15pct__exit,fixed_20pct__ret,fixed_20pct__days,fixed_20pct__hit,fixed_20pct__exit,fixed_25pct__ret,fixed_25pct__days,fixed_25pct__hit,fixed_25pct__exit
KPIGREEN,2024-02-23,2024-02-26,0.6733524355300858,-0.16698414636036707,-0.07896825396825402,5,False,2024-03-01,-0.07698412698412693,2,True,2024-02-27,-0.06349206349206349,1,True,2024-02-26,-0.07896825396825402,5,False,2024-03-01,-0.07896825396825402,5,False,2024-03-01,-0.07999999999999996,1,True,2024-02-26,-0.12,3,True,2024-02-28,-0.15769837394593256,4,True,2024-02-29,-0.07896825396825402,5,False,2024-03-01,-0.07896825396825402,5,False,2024-03-01
INOXINDIA,2024-02-23,2024-02-26,0.6197411003236247,-0.0984496124031008,-0.04197676311167631,5,False,2024-03-01,-0.04197676311167631,5,False,2024-03-01,-0.04197676311167631,5,False,2024-03-01,-0.04197676311167631,5,False,2024-03-01,-0.04197676311167631,5,False,2024-03-01,-0.08000000000000007,4,True,2024-02-29,-0.04197676311167631,5,False,2024-03-01,-0.04197676311167631,5,False,2024-03-01,-0.04197676311167631,5,False,2024-03-01,-0.04197676311167631,5,False,2024-03-01
IDEA,2024-02-23,2024-02-26,0.5978260869565217,-0.2450704440264635,-0.20000001074562612,5,False,2024-03-01,-0.1070422320298745,2,True,2024-02-27,-0.059154886594960376,2,True,2024-02-27,-0.23098593698421,3,True,2024-02-28,-0.12676056338028174,3,True,2024-02-28,-0.07999999999999985,2,True,2024-02-27,-0.12676056338028174,3,True,2024-02-28,-0.15000000000000002,3,True,2024-02-28,-0.19999999999999996,3,True,2024-02-28,-0.20000001074562612,5,False,2024-03-01
TFCILTD,2024-02-23,2024-02-26,0.5978260869565217,-0.10622008109206793,-0.03732058876439148,5,False,2024-03-01,-0.08325355931332235,4,True,2024-02-29,-0.08133971291866027,4,True,2024-02-29,-0.03732058876439148,5,False,2024-03-01,-0.03732058876439148,5,False,2024-03-01,-0.08133971291866027,4,True,2024-02-29,-0.03732058876439148,5,False,2024-03-01,-0.03732058876439148,5,False,2024-03-01,-0.03732058876439148,5,False,2024-03-01,-0.03732058876439148,5,False,2024-03-01
JIOFIN,2024-02-23,2024-02-26,0.577683615819209,-0.10104280564144463,-0.06623591570569243,5,False,2024-03-01,-0.06623591570569243,5,False,2024-03-01,-0.06623591570569243,5,False,2024-03-01,-0.06623591570569243,5,False,2024-03-01,-0.06623591570569243,5,False,2024-03-01,-0.07999999999999996,3,True,2024-02-28,-0.06623591570569243,5,False,2024-03-01,-0.06623591570569243,5,False,2024-03-01,-0.06623591570569243,5,False,2024-03-01,-0.06623591570569243,5,False,2024-03-01
SAMMAANCAP,2024-02-23,2024-02-26,0.577683615819209,-0.14433733469032384,-0.08602412580007535,5,False,2024-03-01,-0.08602412580007535,5,False,2024-03-01,-0.09879518072289162,3,True,2024-02-28,-0.09759036144578315,3,True,2024-02-28,-0.09053871522903223,3,True,2024-02-28,-0.07999999999999996,3,True,2024-02-28,-0.1325301204819277,4,True,2024-02-29,-0.08602412580007535,5,False,2024-03-01,-0.08602412580007535,5,False,2024-03-01,-0.08602412580007535,5,False,2024-03-01
JSWINFRA,2024-02-23,2024-02-26,0.5503144654088049,-0.08768656716417911,-0.04011194029850751,5,False,2024-03-01,-0.04011194029850751,5,False,2024-03-01,-0.04011194029850751,5,False,2024-03-01,-0.04011194029850751,5,False,2024-03-01,-0.04011194029850751,5,False,2024-03-01,-0.07999999999999996,3,True,2024-02-28,-0.04011194029850751,5,False,2024-03-01,-0.04011194029850751,5,False,2024-03-01,-0.04011194029850751,5,False,2024-03-01,-0.04011194029850751,5,False,2024-03-01
ICIL,2024-02-23,2024-02-26,0.5474293989862419,-0.004885514819895076,0.03816793893129766,5,False,2024-03-01,0.03816793893129766,5,False,2024-03-01,0.03816793893129766,5,False,2024-03-01,0.03816793893129766,5,False,2024-03-01,0.03816793893129766,5,False,2024-03-01,0.03816793893129766,5,False,2024-03-01,0.03816793893129766,5,False,2024-03-01,0.03816793893129766,5,False,2024-03-01,0.03816793893129766,5,False,2024-03-01,0.03816793893129766,5,False,2024-03-01
SAMHI,2024-02-23,2024-02-26,0.5474293989862419,-0.04734252404503081,-0.010272388814946076,5,False,2024-03-01,-0.010272388814946076,5,False,2024-03-01,-0.010272388814946076,5,False,2024-03-01,-0.010272388814946076,5,False,2024-03-01,-0.010272388814946076,5,False,2024-03-01,-0.010272388814946076,5,False,2024-03-01,-0.010272388814946076,5,False,2024-03-01,-0.010272388814946076,5,False,2024-03-01,-0.010272388814946076,5,False,2024-03-01,-0.010272388814946076,5,False,2024-03-01
BAJEL,2024-02-23,2024-02-26,0.5428824049513704,-0.11715481171548114,-0.08723851926157167,5,False,2024-03-01,-0.0797071257395724,3,True,2024-02-28,-0.0734309751119574,3,True,2024-02-28,-0.08723851926157167,5,False,2024-03-01,-0.10488464371780093,4,True,2024-02-29,-0.08000000000000007,3,True,2024-02-28,-0.08723851926157167,5,False,2024-03-01,-0.08723851926157167,5,False,2024-03-01,-0.08723851926157167,5,False,2024-03-01,-0.08723851926157167,5,False,2024-03-01
ZAGGLE,2024-02-26,2024-02-27,0.8200692041522492,-0.07481296624139033,0.05148888801145812,5,False,2024-03-02,0.05148888801145812,5,False,2024-03-02,0.05148888801145812,5,False,2024-03-02,0.05148888801145812,5,False,2024-03-02,0.05148888801145812,5,False,2024-03-02,0.05148888801145812,5,False,2024-03-02,0.05148888801145812,5,False,2024-03-02,0.05148888801145812,5,False,2024-03-02,0.05148888801145812,5,False,2024-03-02,0.05148888801145812,5,False,2024-03-02
SOBHA,2024-02-26,2024-02-27,0.6197411003236247,-0.050974401293765625,0.0262006068247278,5,False,2024-03-02,0.0262006068247278,5,False,2024-03-02,0.0262006068247278,5,False,2024-03-02,0.0262006068247278,5,False,2024-03-02,0.0262006068247278,5,False,2024-03-02,0.0262006068247278,5,False,2024-03-02,0.0262006068247278,5,False,2024-03-02,0.0262006068247278,5,False,2024-03-02,0.0262006068247278,5,False,2024-03-02,0.0262006068247278,5,False,2024-03-02
ICIL,2024-02-26,2024-02-27,0.5978260869565217,-0.07401624494112302,-0.03835771993682657,5,False,2024-03-02,-0.03835771993682657,5,False,2024-03-02,-0.07089078375242286,3,True,2024-02-29,-0.03835771993682657,5,False,2024-03-02,-0.03835771993682657,5,False,2024-03-02,-0.03835771993682657,5,False,2024-03-02,-0.03835771993682657,5,False,2024-03-02,-0.03835771993682657,5,False,2024-03-02,-0.03835771993682657,5,False,2024-03-02,-0.03835771993682657,5,False,2024-03-02
MRPL,2024-02-26,2024-02-27,0.5978260869565217,-0.07520087343410797,-0.044693704530058276,5,False,2024-03-02,-0.034440955620589686,1,True,2024-02-27,-0.030339804972809636,1,True,2024-02-27,-0.044693704530058276,5,False,2024-03-02,-0.044693704530058276,5,False,2024-03-02,-0.044693704530058276,5,False,2024-03-02,-0.044693704530058276,5,False,2024-03-02,-0.044693704530058276,5,False,2024-03-02,-0.044693704530058276,5,False,2024-03-02,-0.044693704530058276,5,False,2024-03-02
GICRE,2024-02-26,2024-02-27,0.577683615819209,-0.07376319585454616,-0.032303146093389024,5,False,2024-03-02,-0.039297931907182115,2,True,2024-02-28,-0.011318788652009526,2,True,2024-02-28,-0.039297931907182115,2,True,2024-02-28,-0.021757426596935803,2,True,2024-02-28,-0.032303146093389024,5,False,2024-03-02,-0.032303146093389024,5,False,2024-03-02,-0.032303146093389024,5,False,2024-03-02,-0.032303146093389024,5,False,2024-03-02,-0.032303146093389024,5,False,2024-03-02
JYOTICNC,2024-02-26,2024-02-27,0.5474293989862419,-0.0361416142202462,0.019660335514115834,5,False,2024-03-02,0.019660335514115834,5,False,2024-03-02,-0.027859154578611878,2,True,2024-02-28,0.019660335514115834,5,False,2024-03-02,-0.02297684318680593,2,True,2024-02-28,0.019660335514115834,5,False,2024-03-02,0.019660335514115834,5,False,2024-03-02,0.019660335514115834,5,False,2024-03-02,0.019660335514115834,5,False,2024-03-02,0.019660335514115834,5,False,2024-03-02
AEGISLOG,2024-02-26,2024-02-27,0.5428824049513704,-0.01413304562240203,0.04608074559734998,5,False,2024-03-02,-0.00985746768761131,1,True,2024-02-27,-0.002375296912114022,1,True,2024-02-27,0.04608074559734998,5,False,2024-03-02,-0.013065711478996378,1,True,2024-02-27,0.04608074559734998,5,False,2024-03-02,0.04608074559734998,5,False,2024-03-02,0.04608074559734998,5,False,2024-03-02,0.04608074559734998,5,False,2024-03-02,0.04608074559734998,5,False,2024-03-02
CONFIPET,2024-02-26,2024-02-27,0.5428824049513704,-0.03429355329060635,0.007315985943494585,5,False,2024-03-02,-0.010059428344495358,1,True,2024-02-27,-0.005029679287041233,1,True,2024-02-27,0.007315985943494585,5,False,2024-03-02,0.007315985943494585,5,False,2024-03-02,0.007315985943494585,5,False,2024-03-02,0.007315985943494585,5,False,2024-03-02,0.007315985943494585,5,False,2024-03-02,0.007315985943494585,5,False,2024-03-02,0.007315985943494585,5,False,2024-03-02
DATAPATTNS,2024-02-26,2024-02-27,0.5428824049513704,-0.08206106870229013,0.06719467512523858,5,False,2024-03-02,0.06719467512523858,5,False,2024-03-02,0.06719467512523858,5,False,2024-03-02,0.06719467512523858,5,False,2024-03-02,0.06719467512523858,5,False,2024-03-02,-0.07999999999999996,3,True,2024-02-29,0.06719467512523858,5,False,2024-03-02,0.06719467512523858,5,False,2024-03-02,0.06719467512523858,5,False,2024-03-02,0.06719467512523858,5,False,2024-03-02
IFCI,2024-02-26,2024-02-27,0.5428824049513704,-0.15126905102415134,-0.07106598984771573,5,False,2024-03-02,-0.10862941064205267,2,True,2024-02-28,-0.07411170610921636,2,True,2024-02-28,-0.061928918518995846,1,True,2024-02-27,0.0,1,True,2024-02-27,-0.07999999999999996,2,True,2024-02-28,-0.13807105049869128,3,True,2024-02-29,-0.15000000000000002,3,True,2024-02-29,-0.07106598984771573,5,False,2024-03-02,-0.07106598984771573,5,False,2024-03-02
